#{"t_start": 1698025728.808209, "env_id": null}
r,l,t
-1417.786529,98,579.064818
-120.843079,16,580.054626
-449.060736,57,580.253567
-390.86417,48,580.830333
-2361.396288,132,581.442918
-1592.367227,108,582.867693
-408.078214,43,583.907896
-200.150329,19,584.335235
-211.488996,20,584.551403
-11.438595,7,584.748435
-994.163033,81,584.886257
-66.307537,12,585.678508
-405.100043,26,585.841949
-25.443608,9,586.107467
-260.310155,27,586.242056
-374.927505,26,586.522899
-43.776903,16,586.812755
-2394.735886,132,587.080401
-189.23051,19,588.367326
-243.512372,39,588.584161
-344.371548,50,589.036345
-133.774878,21,589.540389
-520.411662,30,589.797411
-595.211207,62,590.14401
-225.293844,26,590.796832
-37.217657,11,591.065905
-441.491855,29,591.193141
-982.319444,80,591.543973
-1945.699868,118,592.463857
-103.075736,18,593.712054
-13.710695,6,593.908482
-456.350018,56,594.016455
-2018.872988,120,594.679735
-515.861983,59,595.907755
-1464.992921,102,596.552609
-1948.355512,116,597.646502
-12.731535,7,598.79415
-305.01361,26,598.888986
-816.452623,73,599.196298
-191.868138,24,599.901772
-127.282051,21,599.917808
-177.700143,19,599.941803
-188.424794,19,599.956803
-6.732558,5,599.960772
-60.976568,21,600.027294
-289.135028,23,600.386495
-55.345068,13,600.635021
-486.135881,28,600.8002
-116.966878,19,601.103894
-2264.460343,127,601.428768
-109.043954,14,602.964252
-75.459884,24,603.180015
-648.538044,69,603.51393
-500.193695,31,604.275352
-481.242782,31,604.667168
-716.209761,73,605.048357
-1063.755722,89,605.824717
-1914.433506,118,606.861667
-601.145361,31,608.082603
0.534804,1,608.388669
-1140.994095,90,608.483148
-6.964362,7,609.39199
-362.227651,24,609.475749
-111.90533,19,609.717654
-277.228939,33,609.928159
-426.901808,27,610.296539
-523.819195,31,610.61978
-192.934489,23,610.945539
-62.292334,14,611.203085
-1039.145265,88,611.447518
-173.65361,19,612.351801
-556.874248,64,612.586838
-204.353844,20,613.244658
-200.909447,25,613.483753
-31.843501,10,613.727703
-165.228389,17,613.837644
-28.00333,7,614.002863
-250.488026,28,614.123836
-2385.669622,133,614.577964
-31.8398,9,615.873742
-94.178133,17,615.982858
-27.397069,14,616.191994
-171.604741,18,616.346335
-152.423662,17,616.534834
2.625371,1,616.701177
-61.275097,11,616.723768
-2237.850393,127,616.972908
